"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2192391308034","22.7344762098213","90.0976525057947","1254.31780277249","56968.3768193092","162324.942304985","208700.93724759","256723.3318896","307327.099283911","319662.446827797","335984.919192976","385446.683139464","449071.350597368","538328.719808028","635830.260454592","752325.994830377","897876.788061796","1073882.32004542","1227200.85018133","1087793.88759507","1202580.84449594","1313366.35453198","1479232.65027621","1572214.66230765","1657952.6597109","1723989.56917293","1725830.99551896","1889606.79355974","2038469.90640439","2212279.76338595","2086120.80584928",
"American Samoa","ASM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8666.65538195914","8807.46281200101","8528.24877689163","8395.31877025371","8340.52343974691","8874.87792759607","9740.82449121586","11910.013233348","10216.8176306968","10223.2983588916","11496.5240977923","11450.7241954879","11525.1563872309","12059.6351646776","12038.2496994923","11003.8297642807","11521.6097798453","11715.3601388487","12844.9009909959",
"Antigua and Barbuda","ATG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","3366.06343103504","3824.65943454012","4754.24457609608","5736.47002149981","6460.25478645066","7183.50684687601","7960.45664384338","9106.02558914929","10528.3579671441","12698.5843831978","14751.7075332588","17428.0557174779","19106.6481042463","19838.6451953369","20526.3324021906","20913.4488589646","21967.7090776411","23682.0880641657","22697.1691519105","24382.5524395805","25627.4840671064","26840.3010147639","27703.618394622","29355.1909692528","27991.7629384034","28082.8373649391","29154.467854396","30906.8166826391","33905.3791952076","37788.6719458381","42181.2707517643","43319.0856500457","38233.5174019806","35232.1935703737","34415.9103641457","35836.3843507693","34858.594689105","36454.2684903092","38570.3903987346","41036.6060093102","41535.6562745612","45034.8974886272","46916.954126551","37780.4100972143",
"Australia","AUS","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1616.70191058667","1676.52389583135","1656.02308694843","1756.43835616438","1903.10736992926","2036.79311556024","2092.95339455841","2303.92406136113","2432.59222249979","2671.20606703091","2951.14735747981","3121.20275179717","3381.3462851939","3724.28998505232","4399.47533338191","5130.42539408335","5941.4950473883","6781.00338218715","7319.54311185402","8184.44260713794","9165.12387693983","10210.3570710793","11590.2622216366","12328.778710391","13752.316006176","14939.3324025892","16275.9077061379","17598.6079599604","19625.2767326793","21894.6260348273","23707.3911081681","24024.126359639","24191.0260074307","25143.9406803645","26133.7440492859","27418.6033643205","28869.8596472066","30040.3413079873","31470.3650259206","32807.9890098278","34549.2612123427","36387.2147530006","38449.1181289883","40336.4596841481","42896.4992994624","45334.5460607606","48238.516950995","52223.1558124796","55464.5351354404","58108.308707939","59135.4749395758","63468.9559867975","65973.4008871943","66432.2652299285","68093.9845591733","68156.1698346007","68527.5669903572","71511.4223070939","73768.9235041482","76726.6248241477","77115.3828111225",
"Austria","AUT","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1767.54658668792","1949.6079541662","2055.45595371805","2205.04015838767","2398.54708289999","2597.16982393762","2809.61781879595","2965.8762591504","3169.95356826864","3449.05559117625","3890.04412162924","4323.38068406804","4912.10971181706","5536.10893059227","6290.42057692039","6690.01015054553","7402.9126861652","8180.24491208877","8659.23141158681","9514.64303572789","10219.5476137082","10862.4872666544","11666.0074939201","12450.1316466343","13073.9076741264","13791.1646883636","14515.6691186048","15061.6766381687","15773.2947746284","16796.3917109726","17915.0017257435","19015.6586340156","19869.2990646637","20356.1154432542","21289.3262171757","22219.7499886139","22935.1036692094","23685.0889697982","24614.7428495351","25505.7953106005","26662.2630332197","27420.6721888894","28054.4947220085","28549.4869556727","29656.0533903347","30879.9599505532","32390.3831355116","34232.8268370501","35301.5743803758","34523.8965337912","35379.9290336805","36956.8462338067","37799.9264767898","38197.754835213","38981.0663164511","39833.5323259551","40931.8460996801","41984.5523182207","43597.4248576526","44766.0046486905","42538.0553660031",
"Azerbaijan","AZE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.040862972460698","0.0734944232805688","0.652948706660074","4.18957143619576","49.3250225431281","277.663194467036","352.003091588304","402.934328453418","434.803487931252","472.90720616329","586.201326938846","655.340763388894","741.866996249365","867.91513340863","1026.93071690845","1492.22161978586","2209.45129676883","3304.91883514153","4580.09448387612","3979.04695334641","4690.02020248429","5677.69916370528","5889.08907521948","6178.53132926989","6189.15690158414","5635.6180178522","6192.49479289005","7137.97081864857","8057.73090748268","8169.78132002059","7176.39271341342",
"Burundi","BDI","GDP per capita (current LCU)","NY.GDP.PCAP.CN","3502.59549487567","3558.35941044117","3671.76654100684","3925.73103774909","4308.0774756699","4335.34623113272","4565.97327358243","4795.56377306757","4803.81668180034","4875.05671650885","6104.82111598789","6267.33711048159","6049.71628910917","6755.69745251198","7456.47521355145","8958.06104441675","10256.4129763158","12784.7685503961","13906.4645969477","17383.496752475","19910.8747609023","20441.5308026213","20820.9324462461","22380.6593109484","25572.0720798702","29214.0408248492","28076.1529402496","27809.8315484561","29400.7993881637","33303.3167648659","35646.1594948592","38077.4361118743","39679.4051571619","39306.2910762818","39620.6866154803","41734.2840306502","43415.0535221308","55993.5839323895","64699.031486862","72664.817016779","98345.4898366811","111568.671541048","114591.548269288","122950.177612014","141287.159491554","164055.323816878","172177.422004903","186617.759397911","235185.151457574","260966.59534125","288284.991273232","314736.126047424","364029.08416966","399620.473230302","425118.959690485","480292.979334518","466924.110044983","506609.673400135","484501.241523889","482160.289454725","524740.889601785",
"Belgium","BEL","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1578.69957040425","1673.52629784054","1783.00296922818","1902.61220934426","2109.38335419929","2275.16027687787","2426.41414042077","2586.31776524996","2754.5451341109","3046.71282533585","3428.32189034513","3749.14872716905","4180.69356608381","4735.30967837302","5536.55548334553","6109.64573959003","6931.59630552441","7487.3423734924","8033.22220340923","8583.95561829344","9325.11546019461","9777.22740542583","10582.8570814026","11212.6019733104","12114.1918336517","12880.3297685566","13477.1030670496","14008.2313144754","14940.4820240315","16141.6803108406","17065.3508811093","17811.7657418882","18627.977479299","19110.7035319142","20078.5753454342","20764.8243614289","21098.233598385","22011.2078630855","22799.5312754827","23694.276559566","25009.2817949031","25697.0885338845","26445.5226737032","27100.6742107103","28482.4678919392","29587.6450107872","30826.0139071468","32338.4718183273","32842.5757936084","32091.2355521372","33329.1022621454","34060.4102239265","34768.8002411467","35206.1717974799","35953.3634274498","36960.6311616367","37955.1039578263","39124.7400695445","40257.9177450286","41619.0732336552","39537.2982530196",
"Benin","BEN","GDP per capita (current LCU)","NY.GDP.PCAP.CN","22808.7102944255","23440.0552341673","23145.114880876","24467.0724820517","25566.1207574283","26989.190312423","27747.123977363","27540.1847616429","28939.11268425","30161.9954628003","31663.8201335147","30996.8744950152","33978.2564711163","36105.1665536707","41886.0104103234","44427.1312003337","49858.5518687583","53669.709257029","59478.7051569936","69734.8867589199","79873.0495665913","91839.3699056","106066.70452581","103318.365223246","110493.14680288","109804.792915838","105051.560788684","103535.804414387","103274.881506851","99427.8833490317","107187.049142822","108823.8201758","111485.016593818","116642.088058502","155272.293499632","183380.989770304","198191.819662792","210763.010049598","223852.353740761","339631.356182723","364105.106565068","379431.426501061","398836.390054007","412472.295931311","421208.224048429","433820.378107703","447225.003416742","462457.612785179","501940.055755403","512035.6572648","512871.369787159","532639.687283218","584658.49488563","617972.003661518","637643.206042206","636614.806293744","644332.561447349","659970.960489985","689767.515390876","714527.54961783","743105.108998467",
"Burkina Faso","BFA","GDP per capita (current LCU)","NY.GDP.PCAP.CN","16777.4095938346","17550.3664052891","18748.5982176985","19202.4732831047","19718.0047975138","20027.6148752607","20279.6915736365","20753.3911969343","20976.8841669725","22491.8454780351","22526.8566857827","23209.2014715785","25033.0816555866","25360.409277947","29933.7708576675","32731.579900022","37192.4199621551","43432.0806296925","50985.0365497748","55749.2280926954","59725.753333987","69082.426616633","80539.5938034653","83070.3311442314","84701.1169476895","90254.3991724539","88918.3619607325","87495.7062215605","93244.8314824971","97250.8034436162","95831.5556189609","97724.8193332086","95566.1473941902","94843.3978405383","107193.526994726","117715.240617331","127560.992347823","133948.012029757","150861.434012094","184901.549798027","181613.457439646","195621.667643818","204413.2696179","217245.430855946","220625.911279747","241449.248010812","247342.331446718","256098.838544322","286958.443136274","293545.460329231","320545.607406398","353989.116414308","387001.89339345","388930.840593082","391473.61750626","386254.724853092","407861.216806506","426780.507466276","446857.007981078","466452.65694761","493814.068128453",
