"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cote d'Ivoire","CIV","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","132.197933899426","113.623102431144","103.457695792631","96.7073163271566","96.0769563145295","96.3686926536552","115.429053402046","128.380837858064","131.364607968068","124.195571375824","126.174233483237","121.367345597893","126.654728643837","124.330457331375","76.9463925175161","88.4677686240281","88.5558152731084","86.6377367310346","92.5107698069562","91.5353537376826","86.5657496878358","89.6390192853867","93.2027030026823","99.6674781195018","100.907705644248","101.110419148788","100.88019996729","102.576834273368","107.046329060549","107.34555656727","100","102.203812293799","97.3346794467467","100.637978655874","101.110439414028","94.4438735830517","95.7662390061754","95.1186489926217","97.2761814752374","93.5110522512037","98.2519679702162",
"Cameroon","CMR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","137.368457002124","126.240639199124","123.452804889908","128.336568003174","130.600554718794","136.498883065522","151.134327886805","169.10142375421","164.379061569788","151.682164730071","156.229809693108","149.060933625145","149.933837457629","139.475844509658","90.2140965905302","96.9595638165981","98.040195221738","97.0525167902454","100.44105021741","99.3891803960123","93.7005438103412","96.8538007486526","100.331818368306","103.562035749741","102.940914173534","99.8813652148179","101.522088001457","102.128057619021","105.039389527143","106.481661920212","100","100.222168641067","96.4585642829428","98.9264519145908","99.7211046706382","93.544671660065","95.6408460761086","96.5338355739597","97.9222054416184","96.8489524765396","99.8574598688422",
"Congo, Dem. Rep.","COD","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251.166013965144","339.353744353081","305.117572774947","236.995913840972","234.204651897285","223.391678999575","238.751214705471","368.257567419794","510.9034553801","245.919719300897","110.369826830309","91.043658995077","86.9723840688989","85.2052219430717","93.8853785340469","91.3513606617873","92.5336710882593","96.2315697862067","100","105.505768452399","107.234150189301","107.816837890433","109.189669675863","121.516836715899","118.250427819152","104.072683849139","118.212461466962","125.567604767187","127.561506450364",
"Congo, Rep.","COG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","136.769401361283","147.764459804594","157.418405669728","156.184746173557","145.871556830037","127.391396186792","94.4809316239286","84.3329230881965","81.8238743586287","78.6644061498343","69.1344761272257","68.7975083401071","69.0803623421709","74.4687817110485","90.2768410687276","93.6658653788104","99.254493396831","105.527294778538","99.0729315392053","89.892454364141","81.4089604224158","78.863308625614","78.6658548337988","68.9405803948955","75.1885967314973","84.7828328981822","82.9879473663791","92.2957469010311","95.3080941254053","90.4107261876919","100","100.129489476656","105.340596959607","101.294693667279","95.8684602161069","77.6246984455932","73.9955417038684","76.4348607575414","77.2260048716244","72.7000839272379","67.0785742303042",
"Comoros","COM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","141.448263066695","77.0550258537408","78.991732627613","95.5898069252004","98.3054966882227","101.054747543382","93.1602535270632","89.1970510027194","84.1033282640789","88.6537971849734","87.5107461963567","80.9602673433354","85.6439509464149","88.3306911221903","87.6418849845039","89.3652117278564","89.5401082366771","90.6691553718069","92.5748047777453","90.2503776945531","92.1356546776355","95.8409774364242","93.6070449703612","87.5559613931495","84.8086891807851","84.6996395314942","85.2924071679775","86.5191756136791","89.1234143899623","90.2747309845952","100","101.816346032731","106.192278120856","110.505281932124","106.31413176338","114.593745040123","113.793972310835","108.530307018001","105.74104254145","106.419800789367","107.296029470573",
"Caribbean small states","CSS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
